id,type,label,lat,lon,degree,betweenness
case:29fba182737a,Case,Arrest · Monitor lizard · location unknown,,,2,0.008
outlet:navbharat_times,Outlet,Navbharat Times,,,1,0.0
case:bf65ad933bd3,Case,Seizure · Pangolin · Indonesia,,,3,0.01597
location:indonesia,Location,Indonesia,-0.79,113.92,1,0.0
outlet:antara_news,Outlet,ANTARA News,,,1,0.0
case:73938a976378,Case,Arrest · Monitor lizard · Chhattisgarh,,,4,0.03063
mode:online,Mode,Online,,,1,0.0
outlet:hindustan_times,Outlet,Hindustan Times,,,2,0.01308
case:8af70a535b32,Case,Seizure · Turtles & tortoises · India,,,3,0.019
case:ff4d629d2103,Case,Seizure · Leopard · India,,,3,0.00802
case:465fbe735b4e,Case,Arrest · Owls · location unknown,,,2,0.0067
species:owl,Species,Owls,,,2,0.00198
case:43c313088957,Case,Arrest · Owls · location unknown,,,2,0.00377
case:fe354cd25193,Case,Arrest · Leopard · 17 claws · Bhadradri Kothagudem,,,7,0.0563
location:bhadradri_kothagudem,Location,Bhadradri Kothagudem,17.5546,80.6198,2,0.008
location:telangana,Location,Telangana,,,1,0.0
outlet:thehindu.com,Outlet,thehindu.com,,,1,0.0
outlet:telangana_today,Outlet,Telangana Today,,,1,0.0
commodity:leopard-claws,Commodity,Leopard – claws,,,1,0.0
case:4a3eeb399e57,Case,Arrest · Pangolin · Nuapada,,,3,0.02328
location:nuapada,Location,Nuapada,20.6,82.5,2,0.00443
case:5641330d79f7,Case,Arrest · Pangolin · India,,,3,0.02148
case:84548637adad,Case,Arrest · Leopard · Delhi,,,3,0.01063
location:delhi,Location,Delhi,28.61,77.21,1,0.0
case:ad352b7d4345,Case,Arrest · Monitor lizard · 4 lizards · Pāonta Sāhib,,,4,0.03178
location:pāonta_sāhib,Location,Pāonta Sāhib,30.4367,77.6246,2,0.008
location:himachal_pradesh,Location,Himachal Pradesh,,,1,0.0
outlet:tribuneindia.com,Outlet,tribuneindia.com,,,1,0.0
commodity:monitor_lizard-lizards,Commodity,Monitor lizard – lizards,,,1,0.0
case:e3b507d09489,Case,Seizure · Elephant (ivory) · location unknown,,,3,0.04109
outlet:rediff.com,Outlet,rediff.com,,,1,0.0
case:b7444bd4a007,Case,Arrest · Rhinoceros · 920 g · location unknown,,,4,0.0116
commodity:rhino-g,Commodity,Rhinoceros – g,,,1,0.0
