date,disease,pathway,countries,who_report_url
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_19-en
2021-06-08,Ebola and Sudan virus disease,wildlife,ZA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_22-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_25-en
2021-06-08,Ebola and Sudan virus disease,wildlife,ZA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_28b-en
2021-06-08,Yellow fever,vector,GH,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_05-en
2021-06-08,Yellow fever,vector,GH,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_06b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_06a-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_20-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_24-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_02-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_09b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_08-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_16-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_21-en
2021-06-08,Plague,wildlife,ZM,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_31b-en
2021-06-08,Plague,wildlife,ZM,https://www.who.int/emergencies/disease-outbreak-news/item/1997_02_07b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_02_07a-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_02-en
