species_group,origin,exporter,importer,seized_shipments
elephant,GB,GB,US,4
primates,MU,FR,US,4
musk_deer,XX,MY,US,4
orchids,EC,EC,US,4
lion,XX,US,OM,4
leopard,XX,US,OM,4
sea_fan,VN,VN,CH,4
shark_ray,CI,CI,SN,4
lion,MO,FR,ZA,4
primates,ID,TH,ID,4
agarwood,LK,LK,KW,4
birds,US,MX,US,4
birds,BE,BE,US,4
primates,TH,KR,US,4
tiger,CA,CA,US,4
rosewood,BF,BF,CN,4
pythons_reptiles,XX,SE,US,4
elephant,KH,KH,US,4
pangolin,XX,HK,US,4
pythons_reptiles,VN,CN,US,4
pythons_reptiles,VN,TW,US,4
pythons_reptiles,ES,ES,US,4
owl,XX,CN,US,4
leopard,ZM,ZM,US,4
leopard,HK,HK,US,4
primates,XX,BH,AE,4
lion,XX,BH,AE,4
cheetah,BH,BH,AE,4
shark_ray,PA,PA,US,4
pythons_reptiles,AU,XX,US,4
pythons_reptiles,VN,JP,US,4
pythons_reptiles,XX,ET,US,4
sea_fan,MX,XX,US,4
tokay_gecko,VN,MY,US,4
shark_ray,CN,HK,US,4
primates,VN,VN,US,4
lion,BH,BH,AE,4
sea_fan,MV,MV,US,4
elephant,XX,CH,DE,4
primates,AO,AO,CG,4
shark_ray,VE,US,PE,4
lion,XX,AE,IN,4
primates,XX,NL,GB,4
cheetah,XX,KW,AE,4
shark_ray,XX,US,BZ,4
shark_ray,XX,BZ,US,4
lion,XX,NL,ZA,3
sea_fan,CN,HK,US,3
resins_gums,DO,DO,US,3
resins_gums,JP,JP,US,3
agarwood,VN,CN,US,3
birds,PE,RE,US,3
birds,XX,DO,US,3
owl,XX,CA,US,3
pythons_reptiles,ZA,KR,US,3
pythons_reptiles,ID,SG,US,3
pythons_reptiles,XX,US,QA,3
pythons_reptiles,MY,MY,US,3
bear,XX,LA,US,3
bear,TH,TH,US,3
elephant,XX,UG,US,3
primates,US,US,CA,3
primates,BR,BR,US,3
leopard,VN,VN,US,3
primates,XX,LA,US,3
pythons_reptiles,XX,GQ,US,3
leopard,XX,VN,US,3
tiger,XX,JP,US,3
sea_fan,KI,KI,US,3
pythons_reptiles,VN,US,CA,3
pythons_reptiles,ID,CA,US,3
pythons_reptiles,XX,UA,US,3
medicinal_plants,XX,TH,US,3
owl,XX,DE,US,3
bear,XX,HK,US,3
monitor_lizard,ID,BR,US,3
monitor_lizard,ID,LU,US,3
birds,XX,CH,DE,3
red_sanders,IN,IN,AE,3
primates,ID,KW,ID,3
sea_fan,ID,US,CA,3
sea_fan,AG,AG,US,3
sea_fan,XX,BE,US,3
shark_ray,CA,CA,US,3
cacti_succulents,JM,JM,US,3
pythons_reptiles,CN,IT,US,3
pythons_reptiles,XX,LT,US,3
pythons_reptiles,TH,HK,US,3
rosewood,XX,US,KR,3
sea_fan,CW,CW,US,3
sea_fan,XX,US,SN,3
elephant,CN,CN,US,3
sea_fan,AU,US,CA,3
shark_ray,AU,US,TH,3
shark_ray,XX,JP,US,3
elephant,XX,AT,US,3
elephant,KE,KE,US,3
elephant,HK,HK,NZ,3
primates,CN,DE,US,3
primates,XX,CN,US,3
musk_deer,XX,XX,US,3
medicinal_plants,CA,US,CN,3
medicinal_plants,US,US,DE,3
medicinal_plants,US,US,TH,3
medicinal_plants,XX,US,TW,3
lion,XX,US,SN,3
tiger,CN,CN,US,3
orchids,CA,CA,US,3
pythons_reptiles,US,US,TT,3
pythons_reptiles,ID,MX,US,3
monitor_lizard,ID,US,JP,3
sea_fan,VN,VN,CN,3
rosewood,IN,IN,CA,3
shark_ray,EC,US,EC,3
sea_fan,FR,FR,US,3
sea_fan,KR,KR,US,3
sea_fan,IT,IT,US,3
owl,NL,NL,US,3
cacti_succulents,XX,LA,US,3
sea_fan,XX,CH,US,3
sea_fan,JP,TW,US,3
pythons_reptiles,US,IT,US,3
pythons_reptiles,XX,BL,US,3
rosewood,IN,KR,US,3
cacti_succulents,FR,FR,US,3
cacti_succulents,TW,TW,US,3
elephant,XX,LB,US,3
elephant,XX,ES,US,3
primates,VN,US,DE,3
primates,US,KR,US,3
primates,XX,SG,US,3
pangolin,XX,VN,US,3
tiger,GB,US,NL,3
pythons_reptiles,XX,US,ZA,3
pythons_reptiles,ID,AE,US,3
sea_fan,XX,KR,US,3
sea_fan,TT,TT,US,3
sea_fan,XX,US,OM,3
cacti_succulents,XX,US,CN,3
rosewood,BR,US,HK,3
shark_ray,XX,US,CN,3
elephant,XX,US,OM,3
carnivorous_plants,LK,LK,ZA,3
tiger,XX,US,OM,3
pythons_reptiles,TH,TH,CH,3
lion,AL,AL,NL,3
pythons_reptiles,VN,US,TW,3
sea_fan,VN,VN,RU,3
sea_fan,VN,VN,MY,3
sea_fan,VN,VN,BH,3
leopard,CI,CI,SN,3
orchids,EC,EC,ZA,3
shark_ray,SN,SN,CI,3
cacti_succulents,US,US,XX,3
cacti_succulents,CZ,CZ,US,3
pythons_reptiles,TH,CH,US,3
rosewood,XX,KR,US,3
rosewood,BZ,BZ,US,3
shark_ray,PH,PH,US,3
elephant,GH,GH,US,3
pangolin,XX,BE,US,3
orchids,NL,ES,US,3
tiger,IN,IN,US,3
tiger,XX,GB,US,3
pythons_reptiles,NL,NL,US,3
medicinal_plants,XX,XX,US,3
sea_fan,XX,FR,US,3
sea_fan,PE,PE,US,3
owl,CU,CU,US,3
owl,AU,AU,US,3
pythons_reptiles,SG,HK,US,3
orchids,XX,ES,US,3
tokay_gecko,ID,TW,US,3
sea_fan,ID,HK,US,3
primates,VN,ES,US,3
jaguar,BO,BO,US,3
birds,MM,MM,US,3
pythons_reptiles,VN,DE,US,3
pythons_reptiles,US,US,JP,3
sea_fan,FM,MH,US,3
pythons_reptiles,SN,SN,GH,3
leopard,SN,SN,GH,3
sea_fan,MU,GB,US,3
sea_fan,GB,GB,US,3
shark_ray,XX,TT,US,3
elephant,ZW,MX,US,3
lion,UA,UA,ZA,3
tiger,XX,MM,US,3
sea_fan,HN,HN,US,3
sea_fan,XX,DO,US,3
sea_fan,AU,TO,US,3
birds,GT,GT,MX,3
tiger,PL,ES,GB,3
birds,ZA,ZA,AE,3
hornbill,XX,GB,US,3
sea_fan,CL,CL,US,3
birds,XX,DK,US,3
pythons_reptiles,AU,GB,US,3
pythons_reptiles,KE,FR,US,3
pythons_reptiles,MY,TH,US,3
pythons_reptiles,MY,IT,US,3
pythons_reptiles,CN,HK,US,3
shark_ray,NZ,NZ,US,3
musk_deer,PK,PK,US,3
lion,XX,ID,US,3
